HouseID,Area_sqft,Bedrooms,Bathrooms,Floors,Age_of_House,Garage,Location_Score,Distance_to_City,School_Rating,Crime_Rate,Price
90,3277,2,1,2,9,0,1,3,2,2.46,10326704
91,2079,3,3,1,18,0,6,8,1,3.85,6040295
92,661,1,3,2,17,0,2,29,9,1.7,879226
93,701,5,2,1,5,1,4,24,9,1.73,2842106
94,2481,2,1,2,26,0,6,19,7,6.92,5620611
95,1495,4,1,1,28,0,10,4,7,8.66,4753466
96,2817,2,3,2,14,0,8,18,3,9.65,7880500
97,1315,1,1,2,20,1,8,20,10,6.47,3795012
98,3842,4,1,1,29,1,6,27,2,2.25,10582551
99,955,3,1,1,9,1,4,11,7,1.5,4050493
100,1775,2,3,2,4,0,8,27,9,8.22,4296415
101,1516,1,2,2,25,1,8,14,1,6.0,4645207
102,2843,5,4,2,28,0,10,25,4,6.37,8241084
103,3267,4,2,2,4,0,1,18,6,7.92,9230335
104,837,2,4,2,9,1,4,28,7,7.18,1365581
105,1378,2,1,1,27,0,4,28,10,8.43,2306089
106,1576,3,2,1,4,0,7,29,7,1.03,4506946
107,1291,3,4,2,2,0,7,16,10,7.6,5317914
108,2764,5,3,1,22,1,8,3,2,8.58,8005183
109,1263,5,3,1,5,0,5,15,4,3.22,5024604
110,2735,1,2,1,3,0,7,27,5,6.58,6728224
111,879,1,2,2,17,1,8,27,1,3.48,1553497
112,992,5,1,1,27,0,9,4,1,9.6,3434670
113,3612,5,2,2,8,0,3,5,10,0.82,13364358
114,1680,4,1,1,16,1,3,17,3,6.01,4690690
115,2562,3,1,2,28,0,4,7,10,2.08,8644424
116,564,1,3,1,12,0,5,16,3,7.27,369358
117,3068,3,3,2,26,0,10,14,8,2.17,10567665
118,1867,3,4,2,14,0,1,26,9,2.74,4007541
119,1652,5,3,1,29,0,7,16,1,5.2,3932531
120,2527,4,3,2,19,1,9,7,2,9.19,8748827
121,3195,2,2,2,16,1,8,9,10,2.51,11085981
122,1995,4,3,2,12,1,5,4,2,1.87,6490499
123,3634,4,4,2,15,1,4,22,4,7.71,11092349
124,1662,3,2,2,21,0,7,11,2,5.26,4948125
125,2022,4,4,2,3,0,5,2,7,9.16,7904239
126,3140,1,3,2,4,0,7,12,9,1.89,10476265
127,891,3,4,2,4,0,1,12,7,6.64,2879028
128,2198,1,2,1,8,0,1,4,6,2.71,6996287
129,918,2,1,1,16,1,10,18,10,1.99,3604757
130,2836,3,4,2,12,1,3,26,1,6.99,6804590
131,878,2,4,2,1,0,2,21,10,6.14,1792766
132,2296,3,2,1,12,0,2,7,9,7.67,6744145
133,2778,5,2,1,21,0,7,29,5,3.44,8094923
134,3565,4,4,1,20,1,10,1,5,4.76,12577575
135,2588,5,3,2,26,0,2,26,6,4.35,7215148
136,3599,2,4,1,22,0,4,26,9,9.85,8221454
137,2682,4,2,2,18,0,2,23,8,3.28,7103912
138,700,3,1,2,2,1,6,26,8,3.3,2136785
139,2363,4,1,1,9,0,8,13,8,3.87,8278409
140,1279,1,3,2,1,1,10,6,1,5.86,5933737
141,3477,4,4,2,12,1,4,6,1,2.9,10913772
142,3604,1,1,2,18,1,5,12,8,9.2,9806364
143,3619,4,4,2,25,1,4,8,5,3.02,11811252
144,1002,1,2,1,16,1,3,24,9,9.01,1351079
145,2954,2,1,1,20,1,5,22,2,1.48,7907587
146,2251,5,3,2,13,0,9,19,9,6.74,7239361
147,1304,3,2,2,11,0,8,5,8,9.12,4858208
148,2646,4,3,1,20,0,8,18,9,2.1,9518789
149,3231,5,2,2,11,1,8,5,4,9.7,9953239
150,2395,3,1,1,10,0,8,25,1,4.8,5926345
151,3273,3,3,2,6,1,7,10,1,9.48,9069229
152,2070,1,3,2,3,1,8,1,5,6.93,8148987
153,1460,2,2,1,18,1,8,10,2,3.37,5417235
154,3160,2,3,1,0,0,8,5,8,2.29,11894795
155,1985,5,2,1,27,1,10,12,10,3.39,7183739
156,3190,2,2,1,23,1,7,22,5,1.38,8774876
157,1528,4,2,2,28,0,1,27,5,1.87,2474971
158,3789,2,2,1,2,0,4,7,2,1.49,11993063
159,1002,5,1,2,12,1,4,9,7,4.52,4423915
160,3314,2,2,1,14,1,5,22,8,8.06,8748561
161,897,4,4,1,1,0,10,21,10,1.84,5302539
162,1370,1,3,2,10,0,6,12,1,1.74,4086264
163,3342,5,4,1,3,0,4,23,2,6.61,9232121
164,892,1,1,1,18,1,2,29,10,2.37,1095311
165,706,1,4,1,28,0,6,1,4,1.43,2951769
166,1538,1,3,1,16,0,8,11,5,2.09,5767966
167,2381,3,4,2,2,0,8,21,2,9.28,6725013
168,3439,3,1,2,27,1,7,15,1,8.3,8300030
169,1984,1,2,1,17,0,6,2,9,3.86,7522857
170,1363,5,4,1,7,0,2,20,1,6.73,2760415
171,3290,4,1,1,21,0,7,7,4,5.6,10240411
172,3812,4,1,2,24,0,5,21,2,6.93,9594083
173,1063,2,3,2,23,0,6,12,4,6.99,2361214
174,1520,5,3,2,25,1,10,22,8,6.47,4796011
175,595,3,4,2,18,1,8,18,8,3.03,3150574
176,2423,1,2,1,4,1,8,3,9,0.87,8177468
177,2257,2,1,1,6,0,3,7,5,4.83,7444735
178,3032,4,4,1,20,1,7,11,7,8.96,9165746
179,3978,3,1,2,7,1,1,18,3,5.91,11001478
180,2778,3,1,1,27,1,1,12,10,8.41,7320012
181,3296,1,2,2,4,0,7,6,4,9.92,10597488
182,2178,4,2,2,16,0,10,5,10,2.05,9225374
183,3742,5,4,1,4,1,9,26,9,7.07,12020945
184,1040,3,2,1,3,1,7,1,10,6.91,4661122
185,1559,1,2,1,21,0,10,12,10,9.81,4521098
186,3072,5,4,2,18,0,5,27,1,9.86,6317912
187,1683,4,2,2,26,1,8,26,2,7.02,3331757
188,2222,3,3,1,20,0,2,11,5,2.81,6228184
189,3814,5,1,1,1,1,9,4,3,8.09,12893542
190,3657,5,1,2,10,0,6,27,2,1.52,10573886
191,2319,5,1,1,21,1,9,18,1,7.92,6300947
192,3125,3,1,2,12,1,2,4,10,9.15,9478656
193,3229,3,4,2,14,0,3,17,3,4.14,7893924
194,3104,2,1,1,11,1,8,2,1,6.49,9341147
195,2097,4,1,1,21,1,1,29,1,4.59,4053828
196,3560,1,1,1,20,1,10,24,1,4.66,9983128
197,3193,5,1,1,21,0,7,22,8,3.45,8702111
198,1295,2,3,2,10,0,7,2,3,7.74,4126640
199,1551,1,1,2,6,0,1,12,1,9.39,3170482
200,2143,2,3,2,27,1,9,6,7,9.44,6383980
201,1863,3,4,1,4,0,8,10,10,2.16,8049254
202,2481,5,2,2,16,1,4,25,3,8.81,6672402
203,1854,1,1,1,23,1,10,23,8,7.51,4624711
204,2163,1,2,1,19,0,5,25,4,2.9,4731640
205,2029,1,2,1,8,0,2,21,4,1.14,5097481
206,2538,1,4,1,13,1,9,23,5,3.05,8863205
207,3919,1,2,1,25,1,6,27,6,9.17,9744600
208,1996,2,3,1,11,0,3,16,7,6.52,5419540
209,3802,5,2,2,5,0,7,14,4,7.35,11711320
210,2737,3,2,1,16,0,9,7,8,2.94,10159408
211,3796,3,2,2,18,1,3,28,6,7.33,9888349
212,1908,3,1,2,18,1,2,28,1,0.77,3411910
213,1900,3,1,1,25,1,7,19,1,4.07,5042814
214,1806,2,3,1,15,1,7,23,9,6.45,5224923
215,3180,4,3,1,11,1,4,17,10,1.89,10778899
216,3175,5,1,2,11,0,9,9,6,8.32,10054855
217,1472,1,3,1,19,0,8,26,10,2.73,4066508
218,2268,4,1,2,5,1,1,13,8,6.7,6333928
219,1782,3,4,1,22,1,1,22,7,4.35,3764390
220,3930,4,2,1,25,0,5,5,6,6.16,12124545
221,1209,5,2,2,3,0,6,23,4,1.52,4091441
222,1979,1,3,2,5,0,3,5,7,0.66,6568181
223,1934,1,1,1,10,0,9,10,9,9.14,7269526
224,1148,5,1,2,0,1,10,21,10,3.06,5142672
225,817,5,3,2,29,0,6,27,10,8.29,1873551
226,3796,3,1,2,23,1,4,10,7,9.99,9761268
227,1757,1,4,2,22,0,7,27,1,2.51,4042751
228,1183,4,2,2,14,0,8,7,10,3.02,5450719
229,1163,2,3,1,26,0,9,26,9,6.8,2324471
230,2498,2,3,1,10,1,6,15,4,9.67,7101871
231,3945,5,1,2,24,1,6,7,3,9.2,11566129
232,2131,3,3,1,18,0,8,29,4,5.28,4944767
233,1995,2,4,1,17,1,5,27,4,8.05,3968630
234,3804,1,1,2,16,1,3,15,10,1.79,10696542
235,1636,5,1,1,18,0,3,3,2,9.79,4382282
236,2353,4,1,2,20,0,6,19,1,9.66,4613097
237,2020,5,1,2,13,1,2,10,10,2.06,7262987
238,2989,4,4,1,26,1,6,28,1,3.34,8072238
239,1063,5,1,2,17,1,6,29,8,1.45,3345527
240,1791,5,3,2,27,0,8,15,2,3.08,5129434
241,3957,5,4,2,18,0,7,3,10,8.25,14007906
242,3958,4,2,2,14,1,8,6,5,4.09,13266514
243,3684,4,2,2,14,0,9,12,4,1.34,11723919
244,2136,5,3,1,3,0,6,15,8,3.75,7843636
245,3499,2,3,1,6,1,3,6,2,9.82,10417398
246,3652,3,4,2,12,1,10,13,10,6.48,12456792
247,1198,3,2,2,2,0,3,29,9,4.45,3465591
248,2660,3,2,1,15,0,1,19,7,2.08,6932836
249,501,4,2,2,8,1,5,3,7,9.87,2155393
250,1141,4,2,1,7,0,4,8,1,8.3,2604960
251,2767,2,2,2,19,0,9,8,2,3.17,9137354
252,2089,3,1,2,12,1,9,23,4,1.17,6724878
253,1354,3,3,2,16,1,5,26,4,1.04,3216119
254,2259,5,1,2,16,0,10,20,3,1.64,7242894
255,3796,4,2,2,16,0,4,15,7,6.02,9609424
256,2932,3,4,2,0,0,7,4,8,9.32,10886986
257,3974,2,4,2,7,1,6,19,2,5.22,11753626
258,2161,2,2,1,18,0,4,21,4,8.51,3323380
259,1653,3,2,1,5,0,10,3,3,4.74,6089659
260,1576,4,4,1,2,1,2,13,2,7.23,4542702
261,2207,2,1,2,26,1,1,8,6,7.45,4606414
262,3277,5,1,2,4,0,4,23,4,2.15,10215174
263,2195,2,2,2,12,1,4,16,6,3.93,6714786
264,2233,1,1,2,14,1,1,13,2,6.55,5176267
265,1939,1,4,2,13,0,6,3,4,1.17,5809326
266,2794,4,1,2,28,1,4,16,6,3.93,7489770
267,1335,3,2,2,22,1,1,9,5,5.58,2929191
268,702,4,4,1,15,0,1,28,3,9.96,-915027
269,3755,4,1,2,17,1,1,14,8,5.01,10675912
270,622,4,3,1,21,0,8,13,7,8.25,1505380
271,900,4,4,1,28,0,10,21,3,4.6,2597610
272,1266,5,4,2,21,1,8,25,6,8.07,3930775
273,793,5,3,2,10,1,2,7,4,6.16,3275191
274,2827,2,3,1,2,1,7,15,5,8.92,8734044
275,3431,1,4,1,21,0,8,7,5,4.4,11862619
276,697,4,3,2,9,1,8,6,7,6.24,4574987
277,3529,2,2,2,9,0,10,2,5,6.49,12052720
278,2430,1,2,1,29,1,7,9,3,4.47,6578363
279,3299,3,2,2,20,1,5,22,10,1.87,10775513
280,2691,5,4,2,15,1,1,24,5,1.39,8328290
281,1108,1,3,2,11,0,9,17,7,0.66,3719786
282,3772,3,3,1,1,1,7,5,5,8.8,13248910
283,1647,1,1,1,8,1,2,12,5,2.75,4651313
284,686,5,1,1,23,0,6,1,9,2.51,3331044
285,3897,5,3,2,2,0,2,10,3,7.49,10847897
286,3011,2,3,2,23,1,1,11,6,3.54,8337541
287,3920,4,3,1,29,1,7,16,1,5.31,11107386
288,2294,1,4,1,24,1,2,14,10,2.04,7659663
289,1159,1,3,1,29,0,2,8,5,9.62,2032616
290,3311,3,1,2,14,0,5,24,8,8.59,8343056
291,3502,5,4,1,2,0,5,17,5,8.71,11034171
292,2455,1,3,1,18,0,7,25,9,4.36,7214124
293,2950,5,1,2,17,1,1,18,6,7.74,7741978
294,1869,1,4,2,7,0,8,12,8,1.87,6922922
295,2486,2,3,2,25,0,3,25,10,0.58,6444913
296,2034,4,3,1,16,0,4,17,8,0.69,6961236
297,646,1,3,2,7,1,9,28,3,6.07,1523990
298,3719,5,4,2,6,1,4,26,7,4.83,11316022
299,3411,2,1,1,29,0,10,14,7,5.42,8730423
300,2234,1,1,2,6,0,5,16,10,0.57,6841238
301,2343,3,2,1,2,1,7,14,6,4.52,8570844
302,988,4,3,1,0,1,4,9,7,7.32,3140581
303,3476,1,2,2,3,1,1,4,2,4.71,11013590
304,2459,2,2,2,24,1,9,25,9,7.46,7226078
305,2163,3,1,2,4,1,4,23,10,2.71,6983048
306,3098,2,4,2,0,1,9,11,10,8.22,11549965
307,2885,2,4,2,14,1,6,6,1,6.09,9275887
308,3419,3,1,2,4,1,1,15,1,2.5,9723563
309,1140,2,4,1,12,0,3,5,3,2.75,3220555
310,2302,3,2,1,7,0,2,11,3,6.47,6809136
311,3020,1,3,2,7,0,9,25,1,8.38,8546615
312,2469,3,1,1,4,0,1,18,7,4.45,6265204
313,2698,3,3,2,27,0,9,13,4,2.95,7705872
314,1938,4,4,1,8,0,9,11,10,8.74,7374601
315,3869,3,3,1,0,1,8,14,2,6.86,12124887
316,2134,3,4,1,3,1,8,28,10,4.76,7460474
317,762,1,4,2,2,0,1,18,5,5.14,2158997
318,2287,4,2,1,1,0,8,27,6,2.44,6422164
319,2691,5,4,2,7,1,10,28,9,6.45,10036135
320,2893,1,2,1,22,1,3,25,4,3.91,6559165
321,1123,1,2,1,8,1,7,28,2,9.96,1740889
322,1516,5,2,1,1,0,1,19,5,5.06,4608362
323,1380,3,1,1,13,1,1,24,3,5.12,2709670
324,2549,2,1,1,13,0,10,27,2,5.88,6575954
325,3444,4,4,2,3,0,5,15,1,9.21,10168280
326,1827,2,2,2,29,1,5,9,10,8.11,5289011
327,2801,5,1,1,5,1,8,8,2,4.79,9559358
328,952,1,2,1,10,0,7,20,6,7.33,1257472
329,3608,1,3,1,2,1,8,28,8,6.07,10263907
330,1683,4,3,1,7,1,6,1,3,5.18,6729881
331,3562,1,3,2,2,0,6,4,9,2.33,12333096
332,2556,1,4,1,13,1,2,14,9,4.91,7259251
333,3804,4,2,2,27,0,6,25,2,2.84,10955625
334,3670,4,3,1,12,0,5,2,8,9.19,12410947
335,2182,5,1,2,12,1,3,16,10,3.69,7126462
336,3363,1,3,1,1,0,6,3,5,9.55,11032517
337,2755,1,3,1,12,0,8,26,4,5.56,7110865
338,1654,5,3,2,28,1,9,8,10,6.5,6522361
339,903,3,4,1,18,1,1,6,5,5.66,2930814
340,2699,3,1,1,26,1,3,16,4,1.73,7068697
341,2601,3,2,1,5,0,3,24,8,4.07,7079874
342,3691,5,1,2,15,0,8,16,4,1.44,12508965
343,2196,1,2,1,1,1,1,7,10,6.42,7452056
344,1127,5,4,1,7,0,5,13,6,4.75,3371194
345,1086,5,4,2,16,1,3,13,2,7.89,2530432
346,2148,3,4,2,22,1,2,5,5,2.59,6574863
347,1943,2,4,2,1,0,8,25,6,2.06,6319430
348,1945,1,2,1,9,1,3,20,5,4.36,5452201
349,603,3,3,1,27,0,7,22,2,9.3,-136397
350,753,2,2,1,15,0,1,18,7,7.25,6685
351,3798,2,1,2,5,1,6,15,4,4.48,11440392
352,3683,4,4,1,27,0,3,18,8,5.41,10618368
353,3057,1,4,1,1,1,8,2,7,1.3,11986177
354,1996,2,1,2,1,0,6,10,7,9.85,5808162
355,598,3,2,2,25,0,2,23,9,6.83,185109
356,2700,4,3,2,12,0,6,13,1,3.21,9237596
357,2384,1,3,2,23,1,7,18,10,6.07,7242212
358,3461,5,1,2,14,0,5,15,6,1.54,11672470
359,2419,3,3,1,27,1,3,12,6,9.68,5766192
360,1377,2,2,2,1,0,4,15,6,2.16,4692818
361,837,2,2,1,6,0,4,13,6,6.66,2297724
362,3369,3,1,1,2,1,6,18,10,2.83,11481839
363,3734,2,2,2,7,1,10,15,7,7.32,12364259
364,1456,4,4,2,22,1,1,25,10,7.88,2656515
365,2204,1,1,2,13,1,4,23,6,6.9,5450666
366,660,4,2,1,23,1,10,11,1,6.34,1455057
367,2103,2,1,2,29,0,4,19,3,8.98,2954121
368,3348,5,3,2,22,0,10,3,2,1.25,13074313
369,897,1,2,2,26,1,1,7,6,3.64,1679939
370,1800,1,4,2,21,0,9,21,8,2.86,5985759
371,1315,3,2,2,28,0,4,26,3,9.89,1810645
372,2027,3,1,1,6,0,7,14,10,4.2,6083771
373,2419,5,1,1,20,1,3,14,8,7.46,7481123
374,1915,1,2,1,6,0,10,22,8,7.0,6219471
375,1658,5,4,2,0,0,3,13,5,2.51,7117698
376,1718,3,4,2,16,0,8,12,8,2.77,5987738
377,900,3,4,2,8,1,8,24,6,3.17,4240127
378,1139,1,1,1,29,0,1,9,5,4.41,1345792
379,3604,4,2,2,20,0,10,1,9,2.73,13829888
380,3235,2,3,2,12,1,2,19,7,0.69,9763489
381,959,3,1,2,20,1,8,11,8,8.85,3454884
382,1454,3,4,1,18,0,1,23,1,9.67,1695934
383,969,4,2,2,20,0,8,22,2,3.74,1446299
384,3946,4,4,1,18,1,8,23,8,3.72,11029727
385,1545,5,3,2,24,1,2,24,9,0.57,4674457
386,3297,5,4,1,24,1,4,22,4,6.96,8805132
387,2193,2,4,1,21,1,6,19,10,8.34,6487110
388,2585,2,3,1,16,1,9,18,10,1.89,9025423
389,2777,1,2,2,22,1,8,12,9,2.02,10247038
390,3936,5,1,2,22,1,8,23,4,8.01,11101768
391,1062,3,2,1,29,0,7,28,10,6.35,1680026
392,2985,5,3,1,9,1,9,28,10,0.93,10814181
393,2299,3,4,2,9,1,2,28,10,6.41,6041162
394,3854,4,2,2,3,0,3,27,9,3.43,11503965
395,2574,5,1,1,7,1,10,1,7,4.0,10123259
396,725,4,3,2,21,1,8,19,2,7.81,1609207
397,3848,2,2,2,19,0,6,28,9,8.2,9745073
398,1297,2,1,2,19,1,10,27,4,4.3,2654631
399,2831,1,3,2,17,0,9,20,8,9.5,8835867
400,3426,5,1,1,13,0,10,29,7,4.36,9902132
401,1459,4,3,2,17,0,4,17,7,7.83,3805982
402,2004,3,4,2,27,0,8,5,8,5.1,6695595
403,952,2,2,1,13,1,10,26,1,9.03,1790019
404,3567,2,1,1,19,0,3,3,5,9.12,9195807
405,1315,3,3,2,20,0,3,2,2,1.33,4835678
406,1158,4,1,2,23,1,8,3,2,9.4,4572078
407,1046,4,1,2,14,0,5,8,1,8.34,2097230
408,1715,5,2,2,21,0,3,16,5,8.02,4660484
409,3620,5,4,1,29,0,10,6,2,2.41,12017560
410,516,1,1,1,3,0,1,13,4,8.15,898395
411,3743,2,3,1,12,1,3,23,3,8.58,10596249
412,1743,5,3,2,26,0,9,28,3,3.25,4514647
413,2705,4,4,2,22,1,5,22,2,9.55,5852366
414,3024,3,3,2,7,1,10,22,6,0.97,11110542
415,1569,4,4,2,17,0,2,16,2,1.92,4401208
416,3944,2,3,1,11,0,7,28,8,5.61,11521395
417,3065,4,2,1,22,0,2,16,8,5.97,8169577
418,2646,1,1,2,13,0,4,3,5,6.63,7281253
419,2268,2,2,1,1,1,7,28,10,0.66,8405174
420,1560,3,1,2,17,1,4,13,7,9.62,4066894
421,2827,1,1,2,23,1,7,14,4,0.92,7691221
422,3920,2,1,1,1,0,7,8,1,1.86,13064437
423,3044,3,2,2,10,1,1,12,2,0.63,9390584
424,801,1,1,2,8,0,6,23,10,5.89,1746850
425,680,1,2,1,11,0,9,23,10,9.36,2375906
426,1106,2,4,2,16,0,2,22,4,6.83,1264413
427,3670,5,3,2,14,0,3,21,1,8.32,9407506
428,1199,1,3,1,24,0,10,26,8,0.63,4016824
429,1492,1,1,2,16,1,5,8,9,5.65,4806881
430,1639,3,2,1,25,1,9,21,4,4.87,3814288
431,690,4,3,2,28,0,4,25,10,5.24,1145899
432,2800,2,2,1,25,1,1,9,3,1.19,7534305
433,1480,2,2,1,17,0,4,1,2,7.0,4548498
434,3475,5,1,1,21,0,6,6,5,5.28,11008609
435,2506,5,3,2,5,0,5,23,3,7.77,7019753
436,1684,2,1,1,16,1,1,19,10,5.11,3621374
437,3827,5,1,1,22,0,4,23,7,1.92,10847987
438,3894,3,3,1,23,0,6,11,6,6.66,11988050
439,627,2,3,1,17,1,10,11,1,2.14,2461731
440,2565,5,4,1,7,1,10,23,8,8.79,8780224
441,2316,2,4,2,8,1,4,13,2,6.32,6301776
442,2258,4,2,2,5,0,9,11,5,1.99,8073578
443,3113,1,3,2,4,0,5,18,9,9.64,8840570
444,1069,2,4,2,11,1,8,23,8,5.42,3740900
445,1846,1,2,2,24,0,9,15,2,1.19,6316431
446,2395,5,2,2,28,1,10,1,9,6.45,8939769
447,3233,1,2,2,27,1,5,21,5,2.91,8457415
448,1125,2,4,1,10,0,6,25,10,8.14,2308963
449,3859,4,3,2,24,0,1,7,6,8.27,11032620
450,3401,5,1,1,0,1,7,23,3,9.8,10112047
451,2186,2,2,1,10,1,4,27,3,5.27,5881697
452,3509,5,4,2,18,1,2,13,10,4.82,11829811
453,654,3,4,1,8,1,5,12,8,7.66,2938703
454,3037,1,1,1,26,0,3,18,10,1.76,7961964
455,1909,3,1,1,1,1,6,24,10,5.7,6284334
456,1284,2,4,1,11,1,8,19,2,5.69,3802993
457,3675,4,3,2,3,1,7,15,2,1.35,12949198
458,3964,5,1,2,3,0,3,8,5,4.47,13134615
459,745,1,4,2,17,0,8,19,6,8.61,1385292
460,3747,5,1,2,14,1,2,10,2,8.63,9715503
461,3610,2,3,2,18,0,10,7,5,1.44,13070693
462,2000,5,2,2,12,0,9,18,7,1.36,7806936
463,2205,1,1,2,18,0,4,16,10,3.0,6095254
464,3306,2,3,2,16,1,1,20,10,8.81,8947936
465,1037,5,4,2,5,1,8,27,8,1.72,4730430
466,2390,4,1,2,15,0,7,6,7,7.34,8548308
467,2341,2,1,1,23,1,5,27,8,1.46,5189109
468,1420,2,4,2,11,1,10,9,9,6.42,5958404
469,2955,4,2,1,18,0,5,21,5,3.88,9102527
470,1024,3,4,1,4,0,7,13,5,7.99,3975099
471,3375,1,1,1,16,1,5,25,10,2.72,10503303
472,2029,3,4,1,25,0,8,21,4,6.57,4680596
473,3450,5,3,2,22,1,6,26,9,2.74,11155098
474,535,4,4,1,25,1,5,8,5,7.28,2279112
475,1184,3,1,2,28,0,9,16,2,8.8,1321135
476,519,2,4,2,0,1,2,13,10,1.7,2924248
477,2868,5,2,1,27,1,1,13,8,8.73,7541235
478,3059,5,4,2,26,0,8,17,7,6.14,8666221
479,899,3,2,1,24,0,3,23,8,1.71,1663198
480,3201,3,3,1,23,0,7,20,3,4.56,9275591
